data,perfil,dia,fonte,posicao,titulo,canal,url,duracao,publicado,views,tema
21/02/2026,P2,1,HOME,7,como ganhar 10 mil reais trabalhando de casa,Ecomka,https://youtu.be/M_XpS8G7FDU?si=diflhcl9JZjNUwgy,15:42,18/02/2026,4200,FITNESS
21/02/2026,P2,1,HOME,8,NUNCA MAIS precise do BULGARO para empinar o gluteo,Tay Training,https://youtu.be/yuhiRo-n9Uo?si=Rm_C51NIw4qcPoLe,09:10,04/11/2025,60000,FITNESS
21/02/2026,P2,1,HOME,9,"Se MEXE C#R#LH0, Va Atras Dos Seus Sonhos",Clovis de Barros,https://youtu.be/qy9Fwsg-L1g?si=ITBhsfQvO5WulUPq,02:45,18/02/2026,256000,FITNESS
21/02/2026,P2,1,HOME,10,"Rotina produtiva (de verdade) as 4 da manha:habitos, treino, dicas",Renata Lima,https://youtu.be/hTnVuaVl_4M?si=rlZYOh0FYVq50EPZ,25:32,02/05/2026,199000,FITNESS
21/02/2026,P2,1,NEXT,1,Bracos secos e definidos com 3 dicas simples,Tay Training,https://youtu.be/01EggU0_guo?si=oE-__OIVThf-RC_n,11:26,27/05/2025,148000,FITNESS
21/02/2026,P2,1,NEXT,2,Pos-Treino para Pernas e Bumbum ,Dayanne Lins,https://youtu.be/I2tA8DiTS2Q?si=D2Hvwr1e_OnD92TX,06:17,12/08/2025,229000,FITNESS
21/02/2026,P2,1,NEXT,3,Quebrar o Ciclo Vicioso da Dor Pode Estar Destruindo Voce (cuidados no autruismo),Augusto Cury - a gesao da emocao,https://youtu.be/YD9p1u5w3jA?si=Ebhb8WnR_e-8jSC7,13:33,20/02/2025,3,FITNESS
21/02/2026,P2,1,NEXT,4,Como Aumentar de Peso de Forma Saudavel,Dayanne Lins,https://youtu.be/TCPpzJMW1a8?si=fKqZBD6i3Z18JYuf,08:04,02/08/2025,328000,FITNESS
21/02/2026,P2,1,NEXT,5,OS 6 MELHORES ABDOMINAIS EM PE PRA PERDER BARRIGA,Treino de mae,https://youtu.be/8bxrT1RbB1A?si=PjuGsk2LvltfV_tD,07:54,30/01/2026,17000,FITNESS
21/02/2026,P2,1,NEXT,6,Vitamina caseira - me ajudou no ganho de massa muscular,Geovana Matos,https://youtu.be/fNPCH2WkUnY?si=gwJjvktlBcz0mGnN,03:15,10/01/2023,19000,FITNESS
21/02/2026,P2,1,NEXT,7,RESULTADO CHOCANTE! Apenas 1 exercicio e VEJA NO ESPELHO!,Canal Esteticando - Monica Marlin,https://youtu.be/KUoWXTXALAU?si=Pv2iNLzORiaV061W,14:20,16/12/2025,106000,FITNESS
21/02/2026,P2,1,NEXT,8,Medicos Estao Falando Mais Sobre Essa Vitamina e Circulacao,Dra Rosana Lahr,https://youtu.be/ehJIwZ_706A?si=cp1_PWyNkdnkCrZr,17:06,05/02/2026,132000,FITNESS
21/02/2026,P2,1,NEXT,9,Como fazer o AFUNDO - O exercicio que da mais resultado,Tay Training,https://youtu.be/-oIl0YJGf9c?si=s9ToR6TUCkfG8LCD,09:28,17/01/2022,1300000,FITNESS
21/02/2026,P2,1,NEXT,10,Uma semente com 10 vezes mais colageno que caldo de ossos?,Dr. Mario Tenorio,https://youtu.be/TiEpLpTwV_Q?si=T7oi8M3FL88vjtrv,11:08,20/01/2026,173000,FITNESS
21/02/2026,P3,1,HOME,1,MELHORIAS!! ATUALIZAÇÃO para TELA DE BLOQUEIO com APLICATIVO SAMSUMG,Atualizando Galaxy e Usando Galaxy,https://youtu.be/_z_Z1afQu18?si=XBANfJmDxQ9R6LEU,04:21,21/02/2026,523,TECNOLOGIA
21/02/2026,P3,1,HOME,2,A VERDADE SOBRE COMPRAR ELETRONICOS NA CHINA,Geisel Taveira,https://youtu.be/m3mAu2_Uec0?si=oVbrrkZObT6aDV7q,23:06,27/11/2025,496000,TECNOLOGIA
21/02/2026,P3,1,HOME,3,OS MELHORES CELULARES PARA JOGOS ATE R$ 1000 REAIS,TechLany,https://youtu.be/nK8VFHz7_WE?si=aGzswy2a1VXyztvG,07:30,19/02/2026,2300,TECNOLOGIA
21/02/2026,P3,1,HOME,4,Hack do WePlay 2026,tripodoskumrator,https://youtu.be/K0AoK7nLTkI?si=CVP970o_1q-eY56-,00:56,09/02/2026,1600,TECNOLOGIA
21/02/2026,P3,1,HOME,5,WhatsApp 2026 - Ganhou um NOVO LAYOUT MODERNO,ODORIZZI,https://youtu.be/Qn2J-indbKo?si=LMUdMYZT9L6aZfmw,04:26,18/02/2026,2500,TECNOLOGIA
21/02/2026,P3,1,HOME,6,Trump ordena divulgacao de arquivos sobre vida alienigena,Jovem Pan News,https://youtu.be/K0Trh8x24ko?si=2Y27JEMUnf8uC8l-,04:21,20/02/2026,291000,TECNOLOGIA
21/02/2026,P3,1,HOME,7,[ATUALIZADO 2026] COMO AUMENTAR O LIMITE DO NUBANK?,Gemeos Investem,https://youtu.be/o7aMU4lGCFs?si=63p3MFhSmAIfQCWq,16:07,18/02/2026,62000,TECNOLOGIA
21/02/2026,P3,1,HOME,8,Comprei o Galaxy A36 5G: O intermediario quase PREMIUM da Samsung!,Ed Gouvea | Tech,https://youtu.be/hggh7EH6RVM?si=8OdPsB11S2qghj2t,07:28,17/02/2026,1100,TECNOLOGIA
21/02/2026,P3,1,HOME,9,MEU MATERIAL ESCOLAR,Jennifer Martins,https://youtu.be/hfmDnYwZxw0?si=0o8ToKcKUnD3vPvn,08:14,08/02/2026,385,TECNOLOGIA
21/02/2026,P3,1,HOME,10,pobress com iphone novo 17 de 20k,Gustavo Lazaro,https://youtu.be/w81ncpS873k?si=PTpHkmu9C5z8xVDs,32:41,25/09/2025,612000,TECNOLOGIA
21/02/2026,P3,1,NEXT,1,Impressionante DOCK estilo Liquid Glass,EMDtech,https://youtu.be/GD-cRYp_dvc?si=O_N68RVKxigk_W5O,04:51,21/02/2026,1400,TECNOLOGIA
