perfil,dia,fonte,posicao,posicao_mmr,canal,tema,titulo,url
P1,2,NEXT,2,2,CNN Brasil,POLITICA,"Lula diz estar ""aliviado"" por nao ter tido pressa nas negociacoes",https://youtu.be/ZjSihWv9sNA?si=69hRaIi8iKCKAAEx
P1,2,NEXT,3,3,Terra Brasil,POLITICA,"Na India, Lula fala em 'dominacao' de empresas de",https://youtu.be/79HSSHOFt-8?si=ZM_d1XsdC6RT_ebO
P1,2,NEXT,6,4,Metropoles,POLITICA,Brasil sera maior beneficiado com as novas tarifas de Trump,https://youtu.be/JP_L-MTTzxU?si=orlOQBOy2JrF-kJd
P1,2,NEXT,7,5,Jornalismo TV Cultura,POLITICA,Investimentos em ferrovias devem somar 140 bilhoes,https://youtu.be/fpD7as-_PT4?si=C3NAOjBw_B3zU666
P1,2,NEXT,8,6,Jovem Pan News,POLITICA,"Alckmin reage a decisao de Trump: ""Tarifa global e benefica",https://youtu.be/QniUP49PZwM?si=1xpJMCr-JSl6NLDG
P1,2,NEXT,9,7,Itatiaia,POLITICA,LULA CELEBRA QUEDA DE TARIFAS NA SUPREMA CORTE,https://youtu.be/DOZ3uFlElSA?si=3n2EFqIXujIkvZt_
P1,2,NEXT,4,8,Terra Brasil,POLITICA,"Nao queremos nova Guerra Fria', diz Lula apos Trump ",https://youtu.be/O8tCyr_vCdo?si=3rZnDwyn14eK3jPP
P1,2,NEXT,5,9,Poder360,POLITICA,Viana destaca capa de jornal patrocinada pela Vale na India,https://youtu.be/t3K10fdyR1U?si=NlUUJ0ng00WI5XIx
P1,2,NEXT,10,10,Poder360,POLITICA,Lula afirma que Modi o surpreendeu com jingle da campanha,https://youtu.be/ptS7qyynoWw?si=NGoVrb85bfdRYjzq
P1,3,HOME,1,1,CNN Brasil,POLITICA,Haddad entregara estudos sobre tarifa zero em ate abril,https://youtu.be/YxV2t9b3NEM?si=LFoSKBOJbWA-IQiU
P1,3,HOME,2,2,SBT News,POLITICA,Video de Michelle fritando bananas movimenta em meio a crise com Eduardo,https://youtu.be/7XQDs4rQ360?si=OU3cwqwpeZfB3Yuw
P1,3,HOME,3,3,UOL,POLITICA,Governo Lula e Hogo Motta atuam para acelerar fim da escala 6x1,https://youtu.be/_4aAPyFTP_U?si=tdOom79fz4vQysYG
P1,3,HOME,4,4,g1,POLITICA,Brasil e Coreia do Sul assinam acordos sobre cooperacao em minerais ,https://youtu.be/1wSOFB-pyvw?si=SWFtA_0JK71Gw80N
P1,3,HOME,5,5,Brasil Urgente,POLITICA,Morte de dono de cartel causa caos no Mexico,https://youtu.be/RqWse0fmn2k?si=2Ir8uPjpSVvan8fy
P1,3,HOME,7,6,Jornal da Record,POLITICA,Lula busca investimentos bilionarios em visita oficial a Coreia do Sul,https://youtu.be/WmflC4c2Sdc?si=Gy1AE-YC3EyfzmvO
P1,3,HOME,8,7,Record News,POLITICA,Rebanho bovino dos EUA cai ao menor nivel em 75 anos,https://youtu.be/R9p0zmM7QPQ?si=5lEsA5T34xph9DOy
P1,3,HOME,9,8,Jovem Pan - 3 em 1,POLITICA,TENSAO DIPLOMATICA? Uniao Europeia congela acordo com os EUA,https://youtu.be/_G_q2g7UNN8?si=qkLKgmElRZ85s3VV
P1,3,HOME,6,9,CNN Brasil,POLITICA,"Pais que fizer ""joguinhos"" tera taxas mais altas, diz Donald Trump",https://youtu.be/EzyNmNIeT1w?si=2Nh8HRPVp4eBNeKE
P1,3,HOME,10,10,CNN Brasil,POLITICA,Mexico: Panico toma conta de aeroporto apos morte de El Mencho,https://youtu.be/7dNtkJ4csfE?si=tuNbcCqKZ2Mgyl2E
P1,3,NEXT,1,1,Jovem Pan - 3 em 1,POLITICA,Boulos sobre eleicoes 2026,https://youtu.be/-WrYNW-P14k?si=BKWOl9RtZBj3LMEf
P1,3,NEXT,2,2,Record News,POLITICA,Congresso retoma trabalhos com foco no fim da escala 6x1,https://youtu.be/f078ssix1X8?si=aRtNI8k2M6NLk6sh
P1,3,NEXT,3,3,CNN Brasil Money,POLITICA,Governo brasileiro aumenta imposto de importacao,https://youtu.be/9caLYOB1vuY?si=MxKuz5PEvq3Gyc-Y
P1,3,NEXT,4,4,Gustavo Gayer Deputado Federal,POLITICA,Aplaudido de pe nos EUA - Flavio Bolsonaro discursa,https://youtu.be/EqDA9cIGckY?si=BV1j2rDvwmS9oeBC
P1,3,NEXT,5,5,UOL,POLITICA,"Master: Vorcaro sugere depor ao Senado, mas ate que ponto",https://youtu.be/mQaXuRGW5ko?si=XpoqT5qY99tzfeqf
P1,3,NEXT,6,6,g1,POLITICA,JH: Regiao Sudeste do Brasil segue com alerta de temporal,https://youtu.be/DZemD7_cxhk?si=B8ePjwq9mVxzE7UK
P1,3,NEXT,7,7,CanalGov,POLITICA,Brasil registra em 2025 a menor taxa de desemprego da historia,https://youtu.be/89UOpvthYTQ?si=gVAewzvZ_gYN4Tfw
P1,3,NEXT,8,8,TIMES BRASIL,POLITICA,Brasil avanca para exportar carne bovina a Coreia do Sul,https://youtu.be/KHyCn1wXkHQ?si=8ZNOhZNIzddgjAIH
P1,3,NEXT,9,9,SBT News,POLITICA,Video de Michelle fritando bananas movimenta em meio a crise com Eduardo,https://youtu.be/7XQDs4rQ360?si=7R70lbRe_NgH3maN
